County/Parish,State,facility_count
LOS ANGELES,CA,74
COOK,IL,46
HARRIS,TX,38
MARICOPA,AZ,37
ORANGE,CA,26
DALLAS,TX,25
TARRANT,TX,25
OKLAHOMA,OK,20
CLARK,NV,18
MIAMI-DADE,FL,18
SAN BERNARDINO,CA,18
SAN JUAN,PR,18
ALLEGHENY,PA,17
KING,WA,17
CUYAHOGA,OH,16
RIVERSIDE,CA,16
SAN DIEGO,CA,16
WAYNE,MI,16
BROWARD,FL,15
COLLIN,TX,15
PHILADELPHIA,PA,15
BEXAR,TX,14
BALTIMORE CITY,MD,13
DENTON,TX,13
SUFFOLK,MA,13
ALAMEDA,CA,12
PALM BEACH,FL,12
TULSA,OK,12
FRANKLIN,OH,11
MIDDLESEX,MA,11
MONTGOMERY,PA,11
NEW YORK,NY,11
OAKLAND,MI,11
PINELLAS,FL,11
TRAVIS,TX,11
DOUGLAS,NE,10
JACKSON,MO,10
JOHNSON,KS,10
SALT LAKE,UT,10
SAN FRANCISCO,CA,10
ST. LOUIS,MO,10
WESTCHESTER,NY,10
HILLSBOROUGH,FL,9
HONOLULU,HI,9
JEFFERSON,AL,9
KERN,CA,9
KINGS,NY,9
LAKE,IN,9
MARION,IN,9
MILWAUKEE,WI,9
NASSAU,NY,9
PIMA,AZ,9
PULASKI,AR,9
SACRAMENTO,CA,9
SANTA CLARA,CA,9
SUFFOLK,NY,9
DAVIDSON,TN,8
E. BATON ROUGE,LA,8
EL PASO,TX,8
HAMILTON,OH,8
HENNEPIN,MN,8
MECKLENBURG,NC,8
ST. LOUIS,MN,8
WORCESTER,MA,8
CONTRA COSTA,CA,7
DUVAL,FL,7
ESSEX,NJ,7
FORT BEND,TX,7
FRESNO,CA,7
FULTON,GA,7
HARTFORD,CT,7
HIDALGO,TX,7
MULTNOMAH,OR,7
PASCO,FL,7
SAN JOAQUIN,CA,7
SEDGWICK,KS,7
SHELBY,TN,7
THE DISTRICT,DC,7
WILLIAMSON,TX,7
ALLEN,IN,6
BERGEN,NJ,6
BREVARD,FL,6
BUCKS,PA,6
CADDO,LA,6
CHARLESTON,SC,6
DENVER,CO,6
DU PAGE,IL,6
ERIE,NY,6
FAIRFIELD,CT,6
GREENVILLE,SC,6
HAMILTON,IN,6
HAWAII,HI,6
HUDSON,NJ,6
LUBBOCK,TX,6
MIDDLESEX,NJ,6
MONTGOMERY,MD,6
MONTGOMERY,OH,6
MONTGOMERY,TX,6
NEW HAVEN,CT,6
PIERCE,WA,6
PROVIDENCE,RI,6
QUEENS,NY,6
SAN MATEO,CA,6
SONOMA,CA,6
UTAH,UT,6
VENTURA,CA,6
VOLUSIA,FL,6
WAUKESHA,WI,6
BALTIMORE,MD,5
BAYAMON,PR,5
BERNALILLO,NM,5
BOULDER,CO,5
BRONX,NY,5
CALCASIEU,LA,5
EL PASO,CO,5
ESSEX,MA,5
GRAFTON,NH,5
HAMPDEN,MA,5
HILLSBOROUGH,NH,5
HINDS,MS,5
JEFFERSON,LA,5
KANE,IL,5
KNOX,TN,5
LAFAYETTE,LA,5
LAKE,IL,5
LARIMER,CO,5
LUCAS,OH,5
MADISON,IL,5
MINNEHAHA,SD,5
MOBILE,AL,5
MOHAVE,AZ,5
MONMOUTH,NJ,5
MONROE,NY,5
NAVAJO,AZ,5
ORANGE,FL,5
ORLEANS,LA,5
PINAL,AZ,5
POLK,FL,5
SANTA BARBARA,CA,5
SPOKANE,WA,5
ST. TAMMANY,LA,5
STANISLAUS,CA,5
SUMMIT,OH,5
WASHOE,NV,5
YORK,PA,5
ADAMS,CO,4
ALLEN,OH,4
APACHE,AZ,4
AROOSTOOK,ME,4
ASHTABULA,OH,4
BRISTOL,MA,4
BROWN,WI,4
BURLINGTON,NJ,4
BUTLER,OH,4
CAMDEN,NJ,4
CAMERON,TX,4
COCHISE,AZ,4
CUMBERLAND,ME,4
DANE,WI,4
DAVIS,UT,4
DE KALB,GA,4
DOUGLAS,CO,4
ERIE,PA,4
FAIRFAX,VA,4
FAYETTE,KY,4
GRANT,WA,4
GWINNETT,GA,4
HAYS,TX,4
HORRY,SC,4
HUMBOLDT,CA,4
JEFFERSON,CO,4
JEFFERSON,KY,4
JEFFERSON,NY,4
LAKE,FL,4
LANCASTER,NE,4
LANCASTER,PA,4
LANE,OR,4
LAUDERDALE,MS,4
LEE,FL,4
LORAIN,OH,4
LYCOMING,PA,4
MACOMB,MI,4
MAUI,HI,4
MCKINLEY,NM,4
MERCER,PA,4
MONTEREY,CA,4
NORFOLK,MA,4
OCEAN,NJ,4
ORANGE,NY,4
OUACHITA,LA,4
PENOBSCOT,ME,4
PONCE,PR,4
PRINCE GEORGES,MD,4
RAMSEY,MN,4
RANKIN,MS,4
RAPIDES,LA,4
RICHMOND CITY,VA,4
ROCK,WI,4
SARASOTA,FL,4
SHASTA,CA,4
SIOUX,IA,4
SMITH,TX,4
SNOHOMISH,WA,4
SOLANO,CA,4
ST. CHARLES,MO,4
ST. LAWRENCE,NY,4
ST. LOUIS CITY,MO,4
STEARNS,MN,4
TANGIPAHOA,LA,4
TULARE,CA,4
WASHINGTON,OR,4
WASHINGTON,PA,4
WASHTENAW,MI,4
WESTMORELAND,PA,4
ADA,ID,3
ANCHORAGE,AK,3
ARAPAHOE,CO,3
BALDWIN,AL,3
BARRON,WI,3
BARTON,KS,3
BELL,TX,3
BENTON,AR,3
BENTON,WA,3
BERKS,PA,3
BERKSHIRE,MA,3
BIBB,GA,3
BLACK HAWK,IA,3
BLAIR,PA,3
BONNEVILLE,ID,3
BRAZORIA,TX,3
BRAZOS,TX,3
BUTTE,CA,3
CANYON,ID,3
CARTER,OK,3
CHATHAM,GA,3
CHAUTAUQUA,NY,3
CHELAN,WA,3
CHESTER,PA,3
CLACKAMAS,OR,3
CLAY,MO,3
COCONINO,AZ,3
COMANCHE,OK,3
COOS,NH,3
COOS,OR,3
CREEK,OK,3
CUMBERLAND,PA,3
DAWSON,NE,3
DELAWARE,NY,3
DELAWARE,PA,3
DONA ANA,NM,3
DUBUQUE,IA,3
DURHAM,NC,3
EAU CLAIRE,WI,3
ELLIS,TX,3
ESCAMBIA,FL,3
FLOYD,KY,3
FOND DU LAC,WI,3
FORSYTH,NC,3
GARLAND,AR,3
GENESEE,MI,3
GILA,AZ,3
GRANT,WI,3
GRAYSON,TX,3
HAMILTON,TN,3
HANCOCK,ME,3
HARRISON,MS,3
HOLT,NE,3
HUMACAO,PR,3
HURON,MI,3
ITASCA,MN,3
JACKSON,OR,3
JASPER,MO,3
JEFFERSON,TX,3
KANAWHA,WV,3
KAUAI,HI,3
KENAI PENINSULA,AK,3
KENT,MI,3
LA SALLE,IL,3
LACKAWANNA,PA,3
LAFOURCHE,LA,3
LUZERNE,PA,3
MADISON,IN,3
MAHONING,OH,3
MANATEE,FL,3
MARIN,CA,3
MARION,OR,3
MAYAGUEZ,PR,3
MC HENRY,IL,3
MCPHERSON,KS,3
MENDOCINO,CA,3
MERCER,NJ,3
MERRIMACK,NH,3
MESA,CO,3
MONROE,FL,3
MONTCALM,MI,3
MONTGOMERY,AL,3
MORRIS,NJ,3
MUSCOGEE,GA,3
NESHOBA,MS,3
NEW CASTLE,DE,3
NORFOLK CITY,VA,3
NUECES,TX,3
OKALOOSA,FL,3
OKANOGAN,WA,3
ONONDAGA,NY,3
ONTARIO,NY,3
OSCEOLA,FL,3
OTTAWA,MI,3
PENNINGTON,SD,3
PLACER,CA,3
PLUMAS,CA,3
PLYMOUTH,MA,3
POLK,IA,3
POLK,WI,3
POTTER,TX,3
RANDOLPH,IL,3
RICHLAND,OH,3
RICHLAND,SC,3
RICHMOND,GA,3
ROCKINGHAM,NH,3
ROCKLAND,NY,3
ROOSEVELT,MT,3
RUTHERFORD,TN,3
SAGINAW,MI,3
SAN LUIS OBISPO,CA,3
SANILAC,MI,3
SANTA CRUZ,CA,3
SANTA FE,NM,3
SANTA ROSA,FL,3
SAUK,WI,3
SCHUYLKILL,PA,3
SKAGIT,WA,3
SOMERSET,PA,3
ST. CLAIR,IL,3
ST. CROIX,WI,3
ST. JOSEPH,IN,3
STARK,OH,3
STEUBEN,NY,3
SULLIVAN,TN,3
SUSSEX,DE,3
TERREBONNE,LA,3
UNION,NJ,3
WAKE,NC,3
WASHINGTON,AR,3
WICHITA,TX,3
WILL,IL,3
WINNEBAGO,IL,3
WINNEBAGO,WI,3
YAKIMA,WA,3
ACADIA,LA,2
ADAMS,WA,2
ALACHUA,FL,2
ALBANY,NY,2
ALLEGANY,NY,2
ALLEN,LA,2
ANDROSCOGGIN,ME,2
ANGELINA,TX,2
ANNE ARUNDEL,MD,2
ARECIBO,PR,2
ARKANSAS,AR,2
ATLANTIC,NJ,2
AVOYELLES,LA,2
BARBER,KS,2
BARNSTABLE,MA,2
BARRY,MO,2
BAXTER,AR,2
BAY,FL,2
BEAUFORT,SC,2
BEAVER,UT,2
BELL,KY,2
BELMONT,OH,2
BELTRAMI,MN,2
BERRIEN,MI,2
BIG HORN,MT,2
BIG HORN,WY,2
BIG STONE,MN,2
BINGHAM,ID,2
BLAINE,OK,2
BON HOMME,SD,2
BOONE,MO,2
BOWIE,TX,2
BOX ELDER,UT,2
BRADFORD,PA,2
BREMER,IA,2
BROOME,NY,2
BROWN,MN,2
BROWN,SD,2
BRUNSWICK,NC,2
BUFFALO,NE,2
BULLOCK,AL,2
BURLEIGH,ND,2
BURNET,TX,2
BUTLER,KS,2
CABELL,WV,2
CACHE,UT,2
CADDO,OK,2
CAGUAS,PR,2
CALDWELL,LA,2
CALHOUN,MI,2
CAMBRIA,PA,2
CAPE GIRARDEAU,MO,2
CARBON,WY,2
CARLTON,MN,2
CARROLL,AR,2
CARROLL,GA,2
CARROLL,IA,2
CARROLL,NH,2
CASCADE,MT,2
CASS,MO,2
CASS,ND,2
CATAWBA,NC,2
CHAMBERS,TX,2
CHAMPAIGN,IL,2
CHARLES MIX,SD,2
CHARLOTTE,FL,2
CHAVES,NM,2
CHEROKEE,KS,2
CHEROKEE,OK,2
CHEROKEE,TX,2
CHICKASAW,MS,2
CHIPPEWA,WI,2
CHOUTEAU,MT,2
CHRISTIAN,IL,2
CITRUS,FL,2
CLALLAM,WA,2
CLARK,OH,2
CLARK,WA,2
CLARKE,AL,2
CLARKE,GA,2
CLATSOP,OR,2
CLAY,FL,2
CLAYTON,IA,2
CLEVELAND,OK,2
CLINTON,IA,2
COBB,GA,2
COFFEE,TN,2
COLBERT,AL,2
COLLIER,FL,2
COLORADO,TX,2
COLQUITT,GA,2
COLUMBIA,WI,2
COLUMBIANA,OH,2
COOKE,TX,2
COTTONWOOD,MN,2
COVINGTON,AL,2
COWETA,GA,2
COWLEY,KS,2
CRAIGHEAD,AR,2
CRAWFORD,KS,2
CRAWFORD,OH,2
CRAWFORD,PA,2
CROW WING,MN,2
CUSTER,NE,2
CUSTER,OK,2
DAUPHIN,PA,2
DAVIDSON,NC,2
DE KALB,IL,2
DE SOTO,MS,2
DEFIANCE,OH,2
DESHA,AR,2
DODGE,WI,2
DOUGHERTY,GA,2
DOUGLAS,OR,2
DUTCHESS,NY,2
EATON,MI,2
ECTOR,TX,2
EDDY,NM,2
EL DORADO,CA,2
ELKHART,IN,2
ELMORE,AL,2
ESCAMBIA,AL,2
ETOWAH,AL,2
EVANGELINE,LA,2
FAJARDO,PR,2
FAULKNER,AR,2
FAYETTE,AL,2
FAYETTE,IA,2
FAYETTE,PA,2
FAYETTE,WV,2
FLAGLER,FL,2
FLATHEAD,MT,2
FLORENCE,SC,2
FLOYD,GA,2
FLOYD,IN,2
FORD,KS,2
FRANKLIN,AL,2
FRANKLIN,MO,2
FRANKLIN,NY,2
FRANKLIN,PA,2
GALLATIN,MT,2
GALVESTON,TX,2
GARFIELD,CO,2
GARFIELD,OK,2
GARVIN,OK,2
GENEVA,AL,2
GLACIER,MT,2
GOODHUE,MN,2
GRAND FORKS,ND,2
GRAYS HARBOR,WA,2
GREENE,MO,2
GREENE,MS,2
GREENE,OH,2
GREGG,TX,2
GREGORY,SD,2
GUAM,GU,2
GUILFORD,NC,2
HALL,NE,2
HEMPSTEAD,AR,2
HENDERSON,NC,2
HENDRICKS,IN,2
HENRY,IL,2
HERNANDO,FL,2
HIGHLAND,OH,2
HIGHLANDS,FL,2
HOUGHTON,MI,2
HOUSTON,AL,2
HOWARD,IN,2
HOWELL,MO,2
HURON,OH,2
HUTCHINSON,SD,2
IDAHO,ID,2
IMPERIAL,CA,2
INDIAN RIVER,FL,2
INGHAM,MI,2
INYO,CA,2
IREDELL,NC,2
JACKSON,IL,2
JAMES CITY,VA,2
JEFFERSON,IL,2
JEFFERSON,MO,2
JEFFERSON,PA,2
JOHNSON,IA,2
JOHNSON,TX,2
KALAMAZOO,MI,2
KANKAKEE,IL,2
KAY,OK,2
KENOSHA,WI,2
KLICKITAT,WA,2
KOOTENAI,ID,2
LA CROSSE,WI,2
LA PLATA,CO,2
LA PORTE,IN,2
LAC QUI PARLE,MN,2
LAKE,CA,2
LAKE,MT,2
LAPAZ,AZ,2
LASALLE,LA,2
LAURENS,SC,2
LAVACA,TX,2
LAWRENCE,SD,2
LEA,NM,2
LEHIGH,PA,2
LEON,FL,2
LEWIS,WA,2
LEXINGTON,SC,2
LIMESTONE,TX,2
LINCOLN,MN,2
LINCOLN,OK,2
LINCOLN,OR,2
LINCOLN,SD,2
LINCOLN,WA,2
LINCOLN,WI,2
LINCOLN,WY,2
LINN,IA,2
LINN,OR,2
LITCHFIELD,CT,2
LIVINGSTON,MI,2
LOGAN,AR,2
LOUDOUN,VA,2
LYON,MN,2
MACON,IL,2
MACON,NC,2
MACOUPIN,IL,2
MADERA,CA,2
MADISON,AL,2
MADISON,KY,2
MADISON,MT,2
MADISON,NY,2
MANATI,PR,2
MANITOWOC,WI,2
MARATHON,WI,2
MARION,FL,2
MARION,IA,2
MARION,IL,2
MARION,KS,2
MARQUETTE,MI,2
MARSHALL,IN,2
MATAGORDA,TX,2
MC CRACKEN,KY,2
MC LEAN,IL,2
MC LENNAN,TX,2
MC LEOD,MN,2
MCINTOSH,ND,2
MCLEAN,ND,2
MEDINA,OH,2
MERCED,CA,2
MIAMI,OH,2
MILLARD,UT,2
MILLE LACS,MN,2
MISSISSIPPI,AR,2
MISSOULA,MT,2
MODOC,CA,2
MONONGALIA,WV,2
MONROE,IN,2
MONROE,MS,2
MONROE,PA,2
MONROE,WI,2
MONTGOMERY,IL,2
MONTGOMERY,VA,2
MORGAN,CO,2
NACOGDOCHES,TX,2
NAPA,CA,2
NATRONA,WY,2
NEMAHA,KS,2
NESS,KS,2
NEVADA,CA,2
NEW HANOVER,NC,2
NEW LONDON,CT,2
NEWPORT NEWS CITY,VA,2
NIAGARA,NY,2
NORTHAMPTON,PA,2
OCONTO,WI,2
OKMULGEE,OK,2
OLMSTED,MN,2
ONEIDA,NY,2
ONEIDA,WI,2
OSAGE,OK,2
OTOE,NE,2
OTSEGO,NY,2
OTTER TAIL,MN,2
OUTAGAMIE,WI,2
OXFORD,ME,2
PACIFIC,WA,2
PAGE,IA,2
PARK,WY,2
PASSAIC,NJ,2
PAYNE,OK,2
PEARL RIVER,MS,2
PECOS,TX,2
PEORIA,IL,2
PERRY,IL,2
PETERSBURG CITY,VA,2
PHILLIPS,CO,2
PICKENS,SC,2
PIERCE,NE,2
PIKE,KY,2
PIKE,MS,2
PISCATAQUIS,ME,2
PLATTE,NE,2
POLK,MN,2
PONTOTOC,OK,2
PORTAGE,WI,2
POTTAWATOMIE,KS,2
POTTAWATTAMIE,IA,2
PRINCE WILLIAM,VA,2
PUEBLO,CO,2
RACINE,WI,2
RALEIGH,WV,2
RENO,KS,2
RICE,MN,2
RICHLAND,LA,2
RICHMOND,NY,2
RILEY,KS,2
RIO BLANCO,CO,2
ROCK ISLAND,IL,2
ROGERS,OK,2
ROLETTE,ND,2
RUNNELS,TX,2
SALINE,AR,2
SALINE,IL,2
SALINE,KS,2
SALINE,NE,2
SAN GERMAN,PR,2
SAN JUAN,NM,2
SAN JUAN,UT,2
SANDUSKY,OH,2
SANGAMON,IL,2
SANPETE,UT,2
SARPY,NE,2
SCHENECTADY,NY,2
SCIOTO,OH,2
SCOTT,IA,2
SCOTT,MN,2
SCOTT,MS,2
SEBASTIAN,AR,2
SEMINOLE,FL,2
SENECA,OH,2
SHAWNEE,KS,2
SHEBOYGAN,WI,2
SIMPSON,MS,2
SISKIYOU,CA,2
SOMERSET,ME,2
SPARTANBURG,SC,2
ST. CLAIR,MI,2
ST. FRANCOIS,MO,2
ST. JOHNS,FL,2
ST. JOSEPH,MI,2
ST. LANDRY,LA,2
ST. LUCIE,FL,2
ST. MARY,LA,2
STEVENS,WA,2
STORY,IA,2
STRAFFORD,NH,2
SUFFOLK CITY,VA,2
SULLIVAN,NY,2
SUMNER,TN,2
SUNFLOWER,MS,2
SURRY,NC,2
SUSQUEHANNA,PA,2
SWAIN,NC,2
SWIFT,MN,2
TALLADEGA,AL,2
TALLAPOOSA,AL,2
TAZEWELL,IL,2
TAZEWELL,VA,2
THURSTON,NE,2
THURSTON,WA,2
TIPPECANOE,IN,2
TODD,MN,2
TRAILL,ND,2
TREMPEALEAU,WI,2
TRUMBULL,OH,2
TUSCARAWAS,OH,2
TUSCOLA,MI,2
ULSTER,NY,2
UMATILLA,OR,2
UNION,LA,2
UPTON,TX,2
VALDEZ-CORDOVA,AK,2
VALLEY,ID,2
VAN BUREN,MI,2
VANDERBURGH,IN,2
VERMILION,IL,2
VERMILION,LA,2
VERNON,WI,2
VICTORIA,TX,2
VIGO,IN,2
VILAS,WI,2
VIRGINIA BEACH CITY,VA,2
WABASHA,MN,2
WALSH,ND,2
WALTON,FL,2
WALWORTH,WI,2
WARD,ND,2
WARREN,KY,2
WARREN,NJ,2
WARREN,OH,2
WARRICK,IN,2
WASHBURN,WI,2
WASHINGTON,KS,2
WASHINGTON,LA,2
WASHINGTON,ME,2
WASHINGTON,MN,2
WASHINGTON,OH,2
WASHINGTON,RI,2
WASHINGTON,TN,2
WASHINGTON,TX,2
WASHINGTON,WI,2
WATONWAN,MN,2
WAUPACA,WI,2
WAYNE,OH,2
WEBB,TX,2
WEBER,UT,2
WEBSTER,LA,2
WELD,CO,2
WHEELER,TX,2
WHITESIDE,IL,2
WHITMAN,WA,2
WILLIAMS,ND,2
WILLIAMS,OH,2
WILLIAMSON,IL,2
WILSON,KS,2
WINDHAM,CT,2
WINDHAM,VT,2
WINDSOR,VT,2
WOOD,TX,2
WOOD,WI,2
WOODBURY,IA,2
WRIGHT,IA,2
WRIGHT,MN,2
WYANDOTTE,KS,2
YAMHILL,OR,2
YAVAPAI,AZ,2
YELL,AR,2
YELLOW MEDCINE,MN,2
YELLOWSTONE,MT,2
YOLO,CA,2
YORK,NE,2
YOUNG,TX,2
YUMA,AZ,2
YUMA,CO,2
ABBEVILLE,SC,1
ACCOMACK,VA,1
ADAIR,IA,1
ADAIR,KY,1
ADAIR,MO,1
ADAIR,OK,1
ADAMS,IA,1
ADAMS,IL,1
ADAMS,IN,1
ADAMS,MS,1
ADAMS,ND,1
ADAMS,NE,1
ADAMS,OH,1
ADAMS,PA,1
ADAMS,WI,1
ADDISON,VT,1
AGUADILLA,PR,1
AIBONITO,PR,1
AIKEN,SC,1
AITKIN,MN,1
ALAMANCE,NC,1
ALAMOSA,CO,1
ALBANY,WY,1
ALBEMARLE,VA,1
ALCORN,MS,1
ALEXANDRIA CITY,VA,1
ALGER,MI,1
ALLAMAKEE,IA,1
ALLEGAN,MI,1
ALLEGANY,MD,1
ALLEGHANY,NC,1
ALLEGHANY,VA,1
ALLEN,KS,1
ALLEN,KY,1
ALLENDALE,SC,1
ALPENA,MI,1
AMADOR,CA,1
ANDERSON,KS,1
ANDERSON,SC,1
ANDERSON,TN,1
ANDERSON,TX,1
ANDREWS,TX,1
ANOKA,MN,1
ANSON,NC,1
ANTELOPE,NE,1
APPANOOSE,IA,1
APPLING,GA,1
ARCHULETA,CO,1
ARENAC,MI,1
ARLINGTON,VA,1
ARMSTRONG,PA,1
ASCENSION,LA,1
ASHE,NC,1
ASHLAND,OH,1
ASHLAND,WI,1
ASHLEY,AR,1
ASOTIN,WA,1
ASSUMPTION,LA,1
ATASCOSA,TX,1
ATCHISON,KS,1
ATCHISON,MO,1
ATHENS,OH,1
ATKINSON,GA,1
ATOKA,OK,1
ATTALA,MS,1
AUDUBON,IA,1
AUGLAIZE,OH,1
AUGUSTA,VA,1
AUSTIN,TX,1
AUTAUGA,AL,1
AVERY,NC,1
BACA,CO,1
BACON,GA,1
BAILEY,TX,1
BAKER,FL,1
BAKER,OR,1
BALDWIN,GA,1
BANNOCK,ID,1
BARAGA,MI,1
BARBOUR,AL,1
BARBOUR,WV,1
BARNES,ND,1
BARREN,KY,1
BARROW,GA,1
BARRY,MI,1
BARTHOLOMEW,IN,1
BARTON,MO,1
BARTOW,GA,1
BATES,MO,1
BATH,VA,1
BAY,MI,1
BAYLOR,TX,1
BEADLE,SD,1
BEAR LAKE,ID,1
BEAUREGARD,LA,1
BEAVER,OK,1
BEAVER,PA,1
BEAVERHEAD,MT,1
BECKER,MN,1
BECKHAM,OK,1
BEDFORD,PA,1
BEDFORD,TN,1
BEDFORD,VA,1
BEE,TX,1
BELKNAP,NH,1
BEN HILL,GA,1
BENEWAH,ID,1
BENNETT,SD,1
BENNINGTON,VT,1
BENTON,IA,1
BENTON,OR,1
BENTON,TN,1
BENZIE,MI,1
BERKELEY,WV,1
BERRIEN,GA,1
BERTIE,NC,1
BETHEL,AK,1
BIBB,AL,1
BIENVILLE,LA,1
BLADEN,NC,1
BLAINE,ID,1
BLAINE,MT,1
BLECKLEY,GA,1
BLEDSOE,TN,1
BLOUNT,AL,1
BLOUNT,TN,1
BLUE EARTH,MN,1
BOLIVAR,MS,1
BOND,IL,1
BONNER,ID,1
BOONE,AR,1
BOONE,IA,1
BOONE,IN,1
BOONE,KY,1
BOONE,NE,1
BOONE,WV,1
BOSQUE,TX,1
BOTTINEAU,ND,1
BOUNDARY,ID,1
BOURBON,KY,1
BOWMAN,ND,1
BOX BUTTE,NE,1
BOYD,KY,1
BOYD,NE,1
BOYLE,KY,1
BRADLEY,AR,1
BRADLEY,TN,1
BRANCH,MI,1
BRAXTON,WV,1
BREATHITT,KY,1
BRECKINRIDGE,KY,1
BREWSTER,TX,1
BROADWATER,MT,1
BROOKINGS,SD,1
BROOKS,GA,1
BROOMFIELD,CO,1
BROWN,KS,1
BROWN,NE,1
BROWN,TX,1
BRULE,SD,1
BRYAN,OK,1
BUCHANAN,IA,1
BUCHANAN,MO,1
BUCHANAN,VA,1
BUENA VISTA,IA,1
BULLOCH,GA,1
BUNCOMBE,NC,1
BUREAU,IL,1
BURKE,GA,1
BURKE,NC,1
BURLESON,TX,1
BURNETT,WI,1
BUTLER,AL,1
BUTLER,MO,1
BUTLER,NE,1
BUTLER,PA,1
BUTTE,ID,1
BUTTS,GA,1
CABARRUS,NC,1
CALAVERAS,CA,1
CALDWELL,KY,1
CALDWELL,NC,1
CALDWELL,TX,1
CALEDONIA,VT,1
CALHOUN,AL,1
CALHOUN,FL,1
CALHOUN,IA,1
CALHOUN,MS,1
CALHOUN,TX,1
CALHOUN,WV,1
CALLOWAY,KY,1
CALUMET,WI,1
CALVERT,MD,1
CAMDEN,GA,1
CAMDEN,MO,1
CAMP,TX,1
CAMPBELL,KY,1
CAMPBELL,TN,1
CAMPBELL,WY,1
CANADIAN,OK,1
CANDLER,GA,1
CANNON,TN,1
CAPE MAY,NJ,1
CARBON,MT,1
CARBON,PA,1
CARBON,UT,1
CARIBOU,ID,1
CAROLINA,PR,1
CARROLL,KY,1
CARROLL,MD,1
CARROLL,MO,1
CARROLL,TN,1
CARSON CITY,NV,1
CARTER,MT,1
CARTER,TN,1
CARTERET,NC,1
CARVER,MN,1
CASEY,KY,1
CASS,IA,1
CASS,IN,1
CASS,MI,1
CASS,MN,1
CASSIA,ID,1
CASTRO,TX,1
CATOOSA,GA,1
CATTARAUGUS,NY,1
CAVALIER,ND,1
CAYEY,PR,1
CAYUGA,NY,1
CECIL,MD,1
CEDAR,MO,1
CENTRE,PA,1
CERRO GORDO,IA,1
CHAFFEE,CO,1
CHAMBERS,AL,1
CHAMPAIGN,OH,1
CHARLES,MD,1
CHARLEVOIX,MI,1
CHARLOTTESVILLE CITY,VA,1
CHASE,NE,1
CHATHAM,NC,1
CHAUTAUQUA,KS,1
CHEATHAM,TN,1
CHEMUNG,NY,1
CHENANGO,NY,1
CHEROKEE,AL,1
CHEROKEE,GA,1
CHEROKEE,IA,1
CHEROKEE,NC,1
CHEROKEE,SC,1
CHERRY,NE,1
CHESAPEAKE CITY,VA,1
CHESHIRE,NH,1
CHESTER,SC,1
CHESTERFIELD,SC,1
CHESTERFIELD,VA,1
CHEYENNE,CO,1
CHEYENNE,KS,1
CHEYENNE,NE,1
CHICKASAW,IA,1
CHICOT,AR,1
CHILDRESS,TX,1
CHILTON,AL,1
CHIPPEWA,MI,1
CHIPPEWA,MN,1
CHISAGO,MN,1
CHITTENDEN,VT,1
CHOCTAW,AL,1
CHOCTAW,MS,1
CHOCTAW,OK,1
CHOWAN,NC,1
CHRISTIAN,KY,1
CHURCHILL,NV,1
CIBOLA,NM,1
