Facility ID,Facility Name,State,County/Parish,ScoreNumeric,Voluntary_Reporting
230072,HOLLAND COMMUNITY HOSPITAL,MI,OTTAWA,100,Yes
150074,COMMUNITY HOSPITAL EAST,IN,MARION,93,Yes
050597,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,CA,LOS ANGELES,88,Yes
150128,"COMMUNITY HOSPITAL SOUTH, INC.",IN,MARION,88,Yes
390102,UPMC ST MARGARET,PA,ALLEGHENY,85,Yes
390063,UPMC HAMOT,PA,ERIE,84,Yes
390114,MAGEE WOMENS HOSPITAL OF UPMC HEALTH SYSTEM,PA,ALLEGHENY,78,Yes
150113,COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,IN,MADISON,77,Yes
390164,UPMC PRESBYTERIAN SHADYSIDE,PA,ALLEGHENY,73,Yes
150007,COMMUNITY HOWARD REGIONAL HEALTH INC.,IN,HOWARD,70,Yes
370008,NORMAN REGIONAL,OK,CLEVELAND,70,Yes
390016,UPMC JAMESON,PA,LAWRENCE,67,Yes
390328,UPMC EAST,PA,ALLEGHENY,67,Yes
150169,COMMUNITY HOSPITAL NORTH,IN,MARION,64,Yes
390107,UPMC PASSAVANT,PA,ALLEGHENY,63,Yes
050382,EMANATE HEALTH INTER-COMMUNITY HOSPITAL,CA,LOS ANGELES,62,Yes
150058,MEMORIAL HOSPITAL OF SOUTH BEND,IN,ST. JOSEPH,60,Yes
310130,HACKENSACK MERIDIAN HEALTH PASCACK VALLEY MEDICAL,NJ,BERGEN,60,Yes
050696,KECK HOSPITAL OF USC,CA,LOS ANGELES,59,Yes
190267,AVALA,LA,ST. TAMMANY,57,Yes
